n,randomRestarts
505,4

505,10

505,3

505,14

505,1

505,33,Error

510,5

510,2

510,11

510,7

510,4

510,15

510,15

510,23

510,27

510,8

515,22

515,5

515,6

515,6

515,13

515,9

515,16

515,23,Error

515,17

515,5

520,0

520,18

520,10

520,10

520,5

520,9

520,17

520,12

520,1

520,16

525,17

525,15

525,2

525,7

525,16

525,3

525,13

525,8

525,1

525,18

530,17

530,13

530,14

530,12

530,24,Error

530,9

530,10

530,16

530,21

530,10

535,18

535,18

535,15

535,12

535,16

535,7

535,7

535,1

535,10

535,16

540,8

540,3

540,22,Error

540,12

540,13

540,14

540,17

540,22

540,21

540,14

545,3

545,22,Error

545,18

545,14

545,5

545,16

545,7

545,6

545,17

545,24,Error

550,20

550,12

550,4

550,6

550,7

550,13

550,24,Error

550,1

550,25,Error

550,1

555,21,Error

555,1

555,19

555,8

555,11

555,15

555,16

555,0

555,17

555,7

560,26

560,6

560,17

560,3

560,34,Error

560,3

560,5

560,30,Error

560,24,Error

560,7

565,33,Error

565,10

565,21

565,13

565,12

565,12

565,11

565,0

565,22,Error

565,15

570,26,Error

570,0

570,0

570,5

570,23,Error

570,27

570,14

570,0

570,11

570,13

575,8

575,19

575,2

575,7

575,5

575,15

575,0

575,0

575,8

575,19

580,19

580,16

580,8

580,3

580,5

580,21

580,2

580,13

580,23,Error

580,23

585,24,Error

585,12

585,11

585,8

585,25,Error

585,7

585,9

585,0

585,8

585,13

590,15

590,5

590,5

590,22

590,3

590,22,Error

590,21,Error

590,17

590,1

590,9

595,8

595,6

595,11

595,13

595,8

595,16

595,4

595,12

595,19

595,2

600,0

600,7

600,7

600,4

600,7

600,1

600,26,Error

600,23,Error

600,9

600,15
